ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-08-17T11:44:22.000,58.55,229.59,-37.96,-44.58
2023-08-17T11:59:22.000,245.25,243.37,-109.92,-219.24
2023-08-17T12:14:22.000,247.26,105.83,-67.45,237.89
2023-08-17T12:29:22.000,231.58,101.16,-44.83,227.20
2023-08-17T12:44:22.000,44.49,155.82,-40.59,18.22
2023-08-17T12:59:22.000,48.54,286.36,13.67,-46.57
2023-08-17T13:14:22.000,66.23,352.20,65.62,-8.99
2023-08-17T13:29:22.000,1.20,137.27,-0.88,0.82
2023-08-17T13:44:22.000,0.31,93.66,-0.02,0.31
2023-08-17T13:59:22.000,0.25,130.72,-0.17,0.19
2023-08-17T14:14:22.000,0.52,112.14,-0.19,0.48
2023-08-17T14:29:22.000,0.82,128.29,-0.51,0.64
2023-08-17T14:44:22.000,0.41,100.48,-0.07,0.40
2023-08-17T14:59:22.000,0.47,132.20,-0.32,0.35
2023-08-17T15:14:22.000,0.85,134.20,-0.59,0.61
2023-08-17T15:29:22.000,1.30,132.83,-0.88,0.95
2023-08-17T15:44:22.000,0.44,105.34,-0.12,0.42
2023-08-17T15:59:22.000,0.71,114.13,-0.29,0.64
2023-08-17T16:14:22.000,0.45,144.25,-0.36,0.26
2023-08-17T16:29:22.000,0.61,98.38,-0.09,0.60
2023-08-17T16:44:22.000,0.42,118.92,-0.20,0.37
2023-08-17T16:59:22.000,0.57,82.41,0.07,0.56
2023-08-17T17:14:22.000,0.45,101.71,-0.09,0.44
2023-08-17T17:29:22.000,0.53,79.48,0.10,0.52
2023-08-17T17:44:22.000,0.49,97.37,-0.06,0.49
2023-08-17T17:59:22.000,0.42,85.68,0.03,0.42
2023-08-17T18:14:22.000,0.47,99.55,-0.08,0.47
2023-08-17T18:29:22.000,0.52,62.99,0.24,0.46
2023-08-17T18:44:22.000,0.99,89.91,0.00,0.99
2023-08-17T18:59:22.000,0.22,134.84,-0.16,0.16
2023-08-17T19:14:22.000,0.42,84.98,0.04,0.42
2023-08-17T19:29:22.000,0.42,71.64,0.13,0.40
2023-08-17T19:44:22.000,0.33,100.11,-0.06,0.33
2023-08-17T19:59:22.000,0.36,113.31,-0.14,0.33
2023-08-17T20:14:22.000,0.40,112.20,-0.15,0.37
2023-08-17T20:29:22.000,0.51,121.74,-0.27,0.43
2023-08-17T20:44:22.000,0.35,132.86,-0.24,0.25
2023-08-17T20:59:22.000,0.41,112.85,-0.16,0.38
2023-08-17T21:14:22.000,0.44,118.20,-0.21,0.39
2023-08-17T21:29:22.000,0.39,106.09,-0.11,0.38
2023-08-17T21:44:22.000,0.33,98.04,-0.05,0.33
2023-08-17T21:59:22.000,0.30,174.61,-0.30,0.03
2023-08-17T22:14:22.000,0.46,174.58,-0.46,0.04
2023-08-17T22:29:22.000,0.49,173.00,-0.49,0.06
2023-08-17T22:44:22.000,0.50,161.75,-0.47,0.16
2023-08-17T22:59:22.000,0.22,147.38,-0.19,0.12
2023-08-17T23:14:22.000,0.24,99.96,-0.04,0.23
2023-08-17T23:29:22.000,0.22,143.45,-0.18,0.13
2023-08-17T23:44:22.000,0.51,177.70,-0.51,0.02
2023-08-17T23:59:22.000,0.27,133.68,-0.19,0.20
2023-08-18T00:14:22.000,0.19,131.48,-0.13,0.15
2023-08-18T00:29:22.000,0.31,96.81,-0.04,0.31
2023-08-18T00:44:22.000,0.21,113.90,-0.09,0.19
2023-08-18T00:59:22.000,0.30,98.25,-0.04,0.29
2023-08-18T01:14:22.000,0.30,112.93,-0.12,0.27
2023-08-18T01:29:22.000,0.19,78.60,0.04,0.18
2023-08-18T01:44:22.000,0.29,90.65,-0.00,0.29
2023-08-18T01:59:22.000,0.18,134.00,-0.13,0.13
2023-08-18T02:14:22.000,0.34,124.11,-0.19,0.28
2023-08-18T02:29:22.000,0.22,111.11,-0.08,0.21
2023-08-18T02:44:22.000,0.26,109.29,-0.09,0.24
2023-08-18T02:59:22.000,0.27,72.05,0.08,0.26
2023-08-18T03:14:22.000,0.30,86.39,0.02,0.30
2023-08-18T03:29:22.000,0.40,61.65,0.19,0.35
2023-08-18T03:44:22.000,0.15,314.69,0.11,-0.11
2023-08-18T03:59:22.000,0.42,17.62,0.40,0.13
2023-08-18T04:14:22.000,0.76,295.02,0.32,-0.69
2023-08-18T04:29:22.000,0.58,261.43,-0.09,-0.58
2023-08-18T04:44:22.000,0.48,165.53,-0.46,0.12
2023-08-18T04:59:22.000,0.15,193.01,-0.14,-0.03
2023-08-18T05:14:22.000,0.08,171.31,-0.08,0.01
2023-08-18T05:29:22.000,0.14,105.94,-0.04,0.13
2023-08-18T05:44:22.000,0.13,186.03,-0.13,-0.01
2023-08-18T05:59:22.000,0.46,134.75,-0.32,0.33
2023-08-18T06:14:22.000,0.24,126.31,-0.14,0.19
2023-08-18T06:29:22.000,0.32,87.56,0.01,0.32
2023-08-18T06:44:22.000,0.31,112.07,-0.12,0.29
2023-08-18T06:59:22.000,0.51,86.96,0.03,0.51
2023-08-18T07:14:22.000,0.32,64.81,0.13,0.29
2023-08-18T07:29:22.000,0.46,121.31,-0.24,0.40
2023-08-18T07:44:22.000,0.25,104.31,-0.06,0.24
2023-08-18T07:59:22.000,0.24,119.67,-0.12,0.21
2023-08-18T08:14:22.000,0.31,152.94,-0.28,0.14
2023-08-18T08:29:22.000,0.20,86.27,0.01,0.20
2023-08-18T08:44:22.000,0.32,105.46,-0.09,0.31
2023-08-18T08:59:22.000,0.30,97.20,-0.04,0.30
2023-08-18T09:14:22.000,0.47,120.20,-0.24,0.41
2023-08-18T09:29:22.000,0.17,130.99,-0.11,0.13
2023-08-18T09:44:22.000,0.37,102.83,-0.08,0.37
2023-08-18T09:59:22.000,0.36,102.23,-0.08,0.36
2023-08-18T10:14:22.000,0.53,228.82,-0.35,-0.40
2023-08-18T10:29:22.000,3.02,9.73,2.98,0.51
2023-08-18T10:44:22.000,0.35,122.59,-0.19,0.29
2023-08-18T10:59:22.000,0.61,141.63,-0.48,0.38
2023-08-18T11:14:22.000,0.92,109.61,-0.31,0.87
2023-08-18T11:29:22.000,1.93,130.63,-1.26,1.47
2023-08-18T11:44:22.000,1.54,134.35,-1.08,1.10
2023-08-18T11:59:22.000,1.91,154.69,-1.73,0.82
2023-08-18T12:14:22.000,1.91,137.11,-1.40,1.30
2023-08-18T12:29:22.000,3.11,141.40,-2.43,1.94
2023-08-18T12:44:22.000,3.14,152.21,-2.78,1.46
2023-08-18T12:59:22.000,1.80,142.39,-1.43,1.10
2023-08-18T13:14:22.000,1.87,143.97,-1.51,1.10
2023-08-18T13:29:22.000,1.66,126.69,-0.99,1.33
2023-08-18T13:44:22.000,1.41,140.85,-1.10,0.89
2023-08-18T13:59:22.000,1.29,126.28,-0.76,1.04
2023-08-18T14:14:22.000,0.85,108.44,-0.27,0.81
2023-08-18T14:29:22.000,0.78,98.36,-0.11,0.77
2023-08-18T14:44:22.000,1.41,132.13,-0.95,1.05
2023-08-18T14:59:22.000,0.88,114.76,-0.37,0.80
2023-08-18T15:14:22.000,0.75,97.97,-0.10,0.75
2023-08-18T15:29:22.000,0.80,110.23,-0.28,0.75
2023-08-18T15:44:22.000,0.83,110.14,-0.29,0.78
2023-08-18T15:59:22.000,0.66,124.82,-0.38,0.54
2023-08-18T16:14:22.000,0.86,102.31,-0.18,0.84
2023-08-18T16:29:22.000,0.66,84.41,0.06,0.66
2023-08-18T16:44:22.000,0.78,76.54,0.18,0.76
2023-08-18T16:59:22.000,0.56,135.30,-0.40,0.40
2023-08-18T17:14:22.000,0.39,68.90,0.14,0.36
2023-08-18T17:29:22.000,0.39,88.08,0.01,0.39
2023-08-18T17:44:22.000,0.34,99.11,-0.05,0.34
2023-08-18T17:59:22.000,0.40,97.58,-0.05,0.39
2023-08-18T18:14:22.000,0.46,74.39,0.12,0.44
2023-08-18T18:29:22.000,0.46,103.26,-0.10,0.44
2023-08-18T18:44:22.000,0.47,117.90,-0.22,0.42
2023-08-18T18:59:22.000,0.31,86.53,0.02,0.31
2023-08-18T19:14:22.000,0.66,73.86,0.18,0.63
2023-08-18T19:29:22.000,0.54,88.30,0.02,0.54
